,gene_name,0528 cell,0528 EV,0618 EV,0622 EV,0618 cell,0622 cell
58,ACTN1,725436574.6412,249638364.227747,422720004.321443,404789897.034609,842485322.310498,809759797.772849
59,ACTN2,100967740.093,33165481.901499998,52413150.072000004,61431812.811000004,109868247.43200001,120654644.274
60,ACTN3,12761897.238,5487556.6666,10657058.934,5833143.2494,10533473.809,12142309.285500001
61,ACTN4,1488390889.584466,534526597.875806,866118895.644965,893969616.274105,1682886606.99015,1765807575.824647
62,ACTR10,1182651.1468,329685.8047,585737.3944999999,422218.46501000004,1592538.889,1274329.3611
63,ACTR1A,35738092.9968,14416913.78936,18742410.9761,12893188.19094,42428699.9642,39202804.6977
64,ACTR1B,20012703.906,6904149.8946,7322778.7033,8099408.1655,6242721.715,9156911.3179
65,ACTR2,51178044.36756,16957255.52412,23149132.43461,20119933.16616,62282102.3153,59043177.74071
66,ACTR3,38365694.31575,12940485.492278,19531687.89273,16297247.984060999,41693765.58294,44308682.44559
67,ACY1,307736.65260000003,111430.28863,184214.18299,215579.98754,447439.8187,371607.03500000003
68,ADA,1249417.8278,323475.28193000006,566950.42663,468858.41531,1475503.1698,1465144.5099
69,ADAM10,17072908.1241,28734397.975422002,29979956.21543,28384515.81735,18848318.795088,19658264.17859
70,ADAM17,43080.30073,29239.07232,38482.11108,42416.89101,91860.52875,56854.21572
71,ADAMTS15,2300208.27912,7012890.03524,10154330.1816,6786534.31,1807697.29405,2521251.44554
72,ADAR,11243588.5961,3105158.21415,4451175.66717,2910926.04006,13779473.4205,13164673.0013
73,ADD1,372870.9198,113823.1944,165500.5213,165312.6389,588197.7987,400332.3421
74,ADD3,815725.7659,111480.5235,128693.69,124434.0123,1126312.573,885441.4205
75,ADGRE5,4698578.112,5684293.9768199995,5213100.2256000005,7254150.420600001,6284130.4339,5503168.1872000005
76,ADGRG6,73574.86831,80288.43041,157949.0137,126636.3254,108499.1493,84887.93543
77,ADH5,45051187.0022,11536006.3446,16862582.5557,12734788.355700001,52047025.8468,55729657.6301
78,ADI1,3685669.4783,681973.1064,921215.3259,1309368.9893999998,3447997.7124,7090667.7088
79,ADK,16209519.2915,3804307.8355,5070140.6188,3778394.8310000002,16265981.4311,18983924.2369
80,ADNP,557775.8007,178391.56871,302400.1267,196985.59517,810190.8404999999,698924.8347
81,ADPGK,739586.81595,374811.55154,494569.51508,265609.68491999997,821831.9374,875263.93246
82,ADPRS,771121.16553,161351.75337,339901.72074,454540.66848,1245647.69349,951193.77871
83,ADRM1,12827062.14552,2538553.713552,3100275.698818,2702452.3056619996,15337353.06064,15721795.927550001
84,ADSL,14210142.03033,3847044.7470110003,5894784.14456,4799684.2982,18249201.1592,16890623.63169
85,ADSS2,8527933.167802,2687629.89724,3964649.7299780003,4167117.079901,10973675.92202,9985367.984291
86,AFAP1,658504.51292,45827.822407,37607.853927,62851.112495,1231882.1124800001,569706.0552599999
87,AFAP1L2,9719791.4112,1374412.9322,1168736.2665,1760512.5916,10677535.416299999,11263046.5978
88,AFDN,10046202.30414,3647579.88493,3833372.79082,6114829.56937,11366993.46707,11451878.562789999
89,AFG2B,132556.2352,52878.83164,86007.67193,64829.30953,173718.5124,167613.389
90,AFG3L2,9543150.0999,802342.98317,1253637.30371,1388973.49319,13185615.8863,11190051.988499999
91,AFM,215210.2852,326848.4696,1372722.652,3329118.729,176685.7815,317806.6089
